Actual Wavelengths,Predicted Wavelengths
539.2630035181747,643.7414967223149
538.9591736445121,583.4793004707473
494.0468783190701,539.1330167820095
453.0898359519887,481.4677219382324
596.2905675905635,642.609344185307
551.6301017650296,594.926443974207
532.3922616410109,563.4521766490549
469.7482625469141,487.3002798303132
633.0855537735334,657.9961031366624
626.1386646949923,601.7469319903983
541.5995896549817,541.9358568704379
444.47380938997776,469.7828033089933
528.8204891980407,606.7793494448925
510.3625384901165,560.3122958403643
494.3328986406138,517.033820117386
463.91949640449496,465.634879006541
567.4867090590797,648.8656609247686
565.9883438292702,595.4479514886833
558.1085340311523,554.9075388298736
448.4493169352268,480.7088599841758
698.7827201066591,646.4803467393701
686.5595905806545,601.3074572903805
614.797560251236,567.1896447790604
450.8886448973554,489.21919687523035
702.530986930159,652.3391074262153
563.8065338640872,586.2703577981899
530.0139019122432,538.7373785584965
444.08127459114854,481.91793469048906
700.627275495785,625.1645723114394
595.4174258764446,576.1176381179498
533.6610553738483,546.1949583470488
467.97946618439687,482.96495514478255
602.6943258880774,639.6495720281798
572.8205117183716,584.5642829371924
555.0587327575885,542.0230050449916
454.3658736081916,474.8986909440552
704.6186162201132,693.7753448943299
651.4513226105233,637.3921090581056
636.8467915059942,568.6078274646725
543.4121991432592,477.70127916967533
645.2571534489554,662.9542860700318
598.0329385295252,600.4473704690566
561.5930909347676,559.8189987349607
486.5123406637388,491.0473841741759
568.7176027949133,604.0005495942896
549.059168386686,563.6833593448537
509.63069908218574,515.6303975900508
462.3016362354688,463.3312536901213
897.7859053342904,652.5131480083517
703.6850127063283,584.0281593710785
628.7890620664117,532.6994671899287
617.50121530202,479.3185745695418
551.7446645653912,664.3202218264356
520.0542634927892,590.3585532600515
464.21164970724425,520.4732209957108
448.8864072957066,473.2041210249634
572.3824839989642,642.3097712581032
567.2599832537726,590.8777632458131
544.9593648872828,553.5460770888923
447.5078756284887,481.156896962386
599.9067437901979,659.4894204818874
579.622843559374,602.1195758690241
530.752631532557,541.6188024731862
446.8294265717018,469.4760668863241
521.0028349635531,657.8316761800353
492.8694151072838,593.4175169170059
485.92581181990687,520.9909937818048
477.4816921343061,472.4380145016552
883.9137013393809,657.8845446147924
670.2198203880475,587.9519374688284
628.251506204233,535.3204330031285
607.0226160146337,480.4469797577876
544.0097046304677,622.2814593309348
