A36E_Actual_Wavelength,A36E_Predicted_Wavelength
736.5681012530437,535.9815223124061
732.6659703498235,480.9401595877734
868.5557318269211,672.0717111976672
691.3860249854216,599.816876304297
624.5338006506784,542.0542524901139
601.6365774605574,478.0730647005971
680.4300830922333,625.5124089933264
555.0957230304715,570.3122181384085
533.9065683608693,532.4361798663391
472.8166178532291,471.38781389448854
807.2637375769092,619.6548539083626
660.4987789000014,579.1379091413285
614.3881041443576,547.5310622696401
458.0317942493817,482.03962625892905
491.2320484562486,670.1098382926398
471.94500360542247,595.119430570552
459.9210087067679,545.4960127523467
431.5703119089766,470.4023675887635
668.6561112534706,668.6910847301076
599.129168668199,597.0898811224063
582.1404886914792,547.1904790128842
489.0205461654842,474.7904501964148
783.9978111062393,644.6483759086253
645.949655038992,584.6287157434025
616.7397475313217,538.4136567591398
477.71158091102063,478.3578566432272
630.3045302125053,680.3064223346115
574.6217391240123,604.4668733390099
552.0230867177139,550.4378289589946
455.96466391493374,475.7023366578314
890.6302904494659,672.5777311693954
692.9903111390408,600.2292500786215
611.9395698712516,542.3351779557621
594.3445703388145,478.2263529585061
579.5766879867067,655.5880933964723
514.568213188165,592.6078030693081
503.4052784630531,540.8495623832
479.76497042240504,481.6059076190595
627.9630793633385,646.0767650517362
607.493175679875,585.4204925173343
515.7313691816903,539.665780423998
460.5975915677214,478.25949763062334
897.7859053342904,669.420983195524
703.6850127063283,598.5075803717073
628.7890620664117,543.5544799945756
617.50121530202,477.65232478287885
544.6520790404546,650.1565070301657
541.3569862876044,583.004045062232
470.0012086866222,510.329318866462
421.44105516161386,481.83304644344446
727.3940799567282,697.5074052087623
687.1031573287178,657.9349671652856
658.7577673398848,569.6807313771549
592.5923008331594,504.05261511195107
708.7800443095302,668.7824394804885
627.8540466640111,597.2208212335063
572.7192027726784,526.759981139406
546.9059522732556,482.36553085155435
521.0028349635531,651.0640738237258
492.8694151072838,583.7494069483969
485.92581181990687,510.9020677301519
477.4816921343061,482.07166714572287
505.7377145716787,696.7632451191379
497.19856329910266,658.9896429676849
444.3938252338676,573.5790191438767
426.6980255518923,506.5707282565077
546.5412607481817,650.900555238883
527.7291200234451,583.0875926443516
490.5235888006426,509.81362984334265
461.93768459841544,481.43000007680126
819.3001048406257,701.3232798205418
633.9965261620346,663.0475732049657
629.7871010364094,576.4308814477226
487.48787786924026,507.84852005420925
529.8512444414915,648.4063965307745
514.5006938092062,581.6340041776349
485.17371169383694,509.2039250980835
468.92217672210353,481.6820448044502
883.4891497336907,652.6229190908748
688.3234597943687,585.4173200083499
464.7465696015242,513.2161356860945
432.7524403852291,482.7805978617179
798.7184937609263,681.4691329159571
648.7422563133529,606.0386999075546
600.0438982352738,530.6575333238108
491.39686943231214,484.4393594751695
642.0375652712104,708.942398683461
634.2051469157542,666.1535550668391
455.7816675912958,575.0425458686536
422.3969585258148,504.51219291960166
755.5277184310702,670.4807506054517
679.4799846748333,598.4725223907428
613.9243432197584,527.9634724037849
579.8247315218983,482.6306724183362
562.1902011710922,649.8905548229744
538.0679709738802,582.1633152178031
525.095211952674,508.8148137289105
471.46041520475393,481.14804219525024
897.5002953992779,700.5662750999602
689.701439370833,658.7631815741291
570.5760958417216,570.6224484970932
412.1720518765279,502.5493731309486
682.8227759367221,696.6883997188148
654.9981918243433,662.7376144369202
387.9498803965478,576.238440884861
292.6504186034527,511.3095963762546
792.9176014986932,676.295453039
720.0630712831514,642.9401405188067
392.46014294309293,563.8418135099092
289.52337896433556,504.3278537464533
673.1743843670963,697.7329652738346
601.9279607274094,658.0983768201213
498.2262426219892,569.5955262056793
375.85753466179426,504.1285499641276
719.623737979524,643.4211885560975
716.7012037495248,577.4512076745783
641.1897872578048,505.2629620337942
539.265173593385,480.43558453351244
543.6220750365958,624.4221824813409
523.5444258059472,578.693642709007
513.3031714656393,549.6102856874762
439.8737608685761,476.64602833885436
532.0516958753386,624.6731843109469
522.9586521871431,573.2632851211083
515.2070367424781,539.526317117222
439.77194905873495,469.41071942862044
536.1063956409447,623.7672923579216
519.9511170293137,573.7457419313314
510.36802665068893,542.2734254900747
438.56577751330695,471.54979348218683
588.1142801127593,618.28038724412
563.2008353028251,561.9636119269367
547.33924104203,503.1215692933212
456.1659378459104,477.1679544815383
516.0381466550244,625.0908604316378
509.065278383735,570.4213516417537
491.4364620089221,538.4678033783254
461.5479810490431,467.1027689823936
512.9833484117243,626.0003434085748
511.1288202377232,568.3746760740285
463.6488941380858,535.257251696065
459.6820861700347,463.54702349600336
527.6626860286387,626.9013721522416
522.1136152796408,566.4750826863444
461.8948823953812,535.1778353955964
457.9227390710761,460.44871145490987
642.8187452635799,623.3351692680152
599.9880334144766,565.4241451476927
566.1251270785772,506.59223829100745
457.14190669872056,477.1101463565771
492.34848299947487,626.1576750061962
490.1861035177276,574.7832024741847
461.0671408438447,541.4061239768165
433.9821062432427,469.4322294182987
677.5111501863419,629.075167320114
572.2867929089758,582.0826886117444
553.126563660848,544.8699259066191
461.33128038202415,474.96968531810194
586.826733870532,632.8409970889923
558.5088216848934,583.2999383637091
534.5227198449309,543.437252868619
461.4655668837807,472.46415466609665
633.7378824024624,631.0964044173173
539.8244226081974,583.7010800321125
535.1941030202516,545.2997315175021
459.2618719271435,474.86280713981097
851.2799498692817,692.5405615891677
657.5277806932569,613.6396217038327
645.3684755142648,538.058074555679
529.5368141913551,484.05937692159756
575.0947767245403,628.8530108525405
540.7174152913079,584.3419617317528
515.3790723388717,547.5830755538965
465.6513964501861,478.10029243199466
504.37827607283606,657.1637441714562
488.5474710611747,586.732784647609
464.6056293585397,519.1438459014172
417.20570848878344,477.56879258072485
520.5013282168767,624.9941368343269
514.6631305360726,570.5933285220325
502.05473773429605,539.4251899346636
452.5480436601496,466.26587272791113
535.1522375163458,626.1990124988376
532.4600786561209,566.4974462584167
458.2712163936379,533.8903280411008
447.3815885391874,461.24529655267446
554.5416560579024,626.6105680100857
535.9902264708055,584.2262221113823
485.36127278066334,551.8490878598818
452.404970385509,480.8809384755138
627.8152886079606,626.6002241419617
567.169174201136,564.9245335995319
547.6231064964916,501.02603771183857
483.55558564990014,475.30966111967473
499.29478078663095,694.7102154462244
447.1465610625411,615.7710578937426
446.56582682499766,540.1573891357889
418.1407471581099,484.9973585717045
510.8983046511708,661.5064344192232
474.4800886757949,593.7068597603788
451.58803496673806,534.8631879962762
431.522039623743,479.86333628778857
637.7903223811521,629.5845739814482
577.0704512068247,577.1097419639816
482.8559793794818,542.5935423437387
433.786258147532,469.01036098321237
607.989452701624,626.7792098594589
597.5454879324826,569.900337624828
527.9232006227113,535.2938017448648
448.8796852188461,462.7467621492866
544.0097046304677,625.8248611387287
525.0187914938344,573.1677610446533
521.1114652109535,540.3135090316865
446.1343339094556,467.9580299849302
588.6514000659456,627.6883881136848
561.7603783178113,570.952065020912
472.966119527276,537.5918953347873
439.3658505881931,463.9107028608714
523.6910141184651,625.4360704988638
515.9252531135904,573.0385981026936
474.0945959430484,540.4883199753735
437.3976525320684,468.2991370814682
557.1093329501916,627.5559526273017
554.9008187929567,570.7631781934077
486.57131045858114,538.2781839817328
446.1407118983799,462.9787012920961
551.7446645653912,679.147622716352
520.0542634927892,603.7599249022709
464.21164970724425,530.8631372043586
448.8864072957066,482.40120114775704
597.6288824623451,624.7596183542595
578.7374391778417,566.17493538464
566.7147893330357,505.83957624042154
448.7439600642569,477.465735676373
