Actual Wavelengths,Predicted Wavelengths
446.56582682499766,529.2180232725887
418.1407471581099,475.95545446618377
604.5650117456447,655.9941013528805
582.2515573888973,614.1316562546632
474.1508404060144,591.7976009305447
470.36307484639593,498.04588503303944
602.6943258880774,629.0059792478846
572.8205117183716,581.1961141838359
555.0587327575885,526.6726875160773
454.3658736081916,465.2750494673316
735.3215978263087,665.9363144547727
668.8005889025259,608.2748084179077
645.2771666538749,521.437119157444
468.19235558327034,453.0090003950592
703.845243639987,658.722635598476
672.0142960922122,614.4234255820711
633.5596971505722,585.5852721279044
451.3859500277666,494.3413572877418
831.5215709029452,647.4780091919913
702.8279199121653,602.1680718612565
627.3304389588875,570.195272105821
620.4448021319861,488.84002715108795
601.3225399003157,661.968629807257
570.3468238354822,602.4784507045568
550.7279569202167,572.5679772282366
519.287461081475,493.29244655817826
810.2016234377421,655.6219042320083
743.825298279839,599.9965586277038
656.114776468272,520.0515351599515
605.537227430502,454.91376616411605
575.6112770814393,611.6643012661091
567.686595595164,566.3624555718868
497.41736818055807,520.5806110496559
468.0385960630664,468.89225212682015
585.7394020133004,639.399057526664
550.3632709993229,584.281100415761
517.5891078367027,554.4956412989554
448.2195600461519,486.9077642677963
627.5799880739429,653.8335571709918
601.4296172538308,608.149022400382
472.377445675868,578.8462992759877
457.766359273481,492.8532540564056
868.5557318269211,645.7048848919584
691.3860249854216,575.9028446128757
624.5338006506784,533.8305279665044
601.6365774605574,478.71301294983476
886.9439863131249,640.7108988592256
642.6408561991865,585.7507886061499
628.2031712590773,559.216147095687
463.27141934123927,489.00865243207994
578.7229577351712,643.8094198521088
517.3271771088082,587.6398237036684
487.00860013679886,505.0872212186852
476.2509659227542,449.35023423419597
561.2118046750935,649.8322345856968
507.2766454987986,604.1097880277957
441.9149706845173,560.0301976795644
435.3908346214956,480.1225892195446
652.5423789518237,636.9971853843052
598.9655803711697,594.9336649214409
579.9244365101151,566.7841758445536
466.9259554652359,487.7456785367931
532.0516958753386,621.9197263435951
522.9586521871431,577.6107439774163
515.2070367424781,543.3933702864141
439.77194905873495,478.901316180508
633.7378824024624,637.5759603378998
539.8244226081974,592.1651941734191
535.1941030202516,549.0625192440616
459.2618719271435,477.06073773680765
593.160646298201,683.4129337330604
558.0347101243617,637.1538920120449
539.7606634878863,590.7836201417932
444.9103924964266,488.13112738434586
567.7781364529212,642.3073770879646
561.8271549138334,596.796295206041
542.6117264100411,550.5840145470339
455.4330496358303,475.58954385273586
515.2235243375959,644.3686979840893
484.0151816302753,590.226834809655
475.31235348623653,562.02380651149
448.526131533754,489.56417544224166
883.9137013393809,649.9764813571328
670.2198203880475,580.858196330029
628.251506204233,539.4983990895221
607.0226160146337,480.4300083646148
897.7859053342904,644.3377061336824
703.6850127063283,576.6276476916695
628.7890620664117,536.1006830741967
617.50121530202,479.48462442215435
474.5193247730624,592.72132956584
456.7290686956979,542.7490685543347
450.0867751540775,509.97900932264827
437.6664699192188,470.776373009851
673.9644263075822,622.5927275133218
571.4607675281819,577.9028427451788
527.8911497559075,546.611285326076
452.4317897353498,481.3421916801868
585.3743432379556,601.5830014491903
531.8175069306365,555.8133023913998
526.2858934549797,507.5311042386069
454.6720658071067,464.0249674462858
577.4424206616455,612.429938576839
560.8128116474442,567.1029153193917
516.3654195668769,520.5115808794205
459.4562916962709,468.5548989263699
855.1238526305019,653.7433830285335
807.3029294437728,587.8357152632441
693.630585231437,550.6399134518753
622.8585413415191,484.79620854027087
543.6220750365958,644.9363473455431
523.5444258059472,602.2656720072354
513.3031714656393,572.7861706024997
439.8737608685761,489.37662922751633
797.2464124719116,642.9311457582031
626.3495502176121,590.1544485702273
590.7949413092078,563.4178238106795
468.8188247721748,490.11133278883517
544.6520790404546,668.2040757424561
541.3569862876044,591.1074350153066
470.0012086866222,549.4866293953202
421.44105516161386,487.4184490237445
676.8394403543999,658.0918703210779
629.3607458874646,614.166336318392
614.3525646559199,584.4677067002731
481.6278212224103,493.4225757777814
572.3824839989642,637.4597665134219
567.2599832537726,592.3581735230636
544.9593648872828,547.7629396893561
447.5078756284887,475.4734057715471
528.8204891980407,602.3663075863941
510.3625384901165,556.0081385585012
494.3328986406138,510.88808936524583
463.91949640449496,465.58022664697774
883.4891497336907,670.5360408790226
688.3234597943687,593.3091538960348
464.7465696015242,551.6474863187574
432.7524403852291,487.9767341074079
656.542117151021,627.2480464922858
622.4443186404698,580.9462737305521
570.1847305076353,532.9266446187464
